State,datacenter_count_2021,datacenter_count_2025,total_facility_area_sqft_2025,datacenter_growth_2021_2025,datacenter_growth_pct_2021_2025
AK,0,0,,0,
AL,1,11,24800422,10,1000.0
AR,0,2,36425,2,
AZ,14,65,43493083,51,364.3
CA,48,112,7473784,64,133.3
CO,1,20,1463459,19,1900.0
CT,1,5,277253,4,400.0
DC,0,1,,1,
DE,0,0,,0,
FL,3,16,594424,13,433.3
GA,2,38,22510007,36,1800.0
HI,0,0,,0,
IA,19,64,59716157,45,236.8
ID,0,5,16659915,5,
IL,6,50,22220623,44,733.3
IN,2,5,231317,3,150.0
KS,1,7,566344,6,600.0
KY,0,5,752852,5,
LA,1,1,,0,0.0
MA,1,3,308979,2,200.0
MD,0,13,522848,13,
ME,0,2,55383,2,
MI,5,10,270036,5,100.0
MN,0,11,11583531,11,
MO,0,16,28530739,16,
MS,0,2,17394333,2,
MT,3,2,10003,-1,-33.3
NC,5,23,16923053,18,360.0
ND,0,2,2731968,2,
NE,3,26,47178110,23,766.7
NH,0,3,47602,3,
NJ,17,53,8052503,36,211.8
NM,1,16,25156896,15,1500.0
NV,4,38,7807466,34,850.0
NY,5,21,1208800,16,320.0
OH,6,93,102289862,87,1450.0
OK,7,6,549376,-1,-14.3
OR,23,109,53124693,86,373.9
PA,0,9,609890,9,
RI,0,0,,0,
SC,7,12,14133358,5,71.4
SD,0,2,299088,2,
TN,0,22,50601005,22,
TX,37,127,40212187,90,243.2
UT,1,15,25501493,14,1400.0
VA,112,319,98744082,207,184.8
VT,2,0,,-2,-100.0
WA,45,82,35289624,37,82.2
WI,2,13,18434325,11,550.0
WV,1,1,,0,0.0
WY,0,19,21744841,19,
