id,name,state,county,facility_area_sqft,lat,lon,source_layer,source_file
00751881301,CoreSite DC1,DC,District of Columbia,,38.902887900000046,-77.0291491,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
01825907839,Southwest Cyberport,NM,Bernalillo County,,35.10329250000003,-106.5893487,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
02590601520,FCR,OR,Josephine County,,42.43788240000002,-123.3286299,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
02607827436,SDSU Computer Room,CA,San Diego County,,32.77502519999998,-117.070888,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
03406467087,NocRoom Miami IT Services,FL,Miami-Dade County,,25.791545299999996,-80.3177484,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
03406476814,NocRoom Miami IT Services,FL,Miami-Dade County,,25.646561700000035,-80.42343460000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
03468203102,Center for Computation & Technology (CCT),LA,East Baton Rouge Parish,,30.407445999999975,-91.1725454,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
03732415309,The Pittock Internet Exchange,OR,Multnomah County,,45.52142480000003,-122.68056199999998,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
04879481820,Google Fiber,GA,Fulton County,,33.77156769999996,-84.3668585,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
05146323411,Open Computing Facility,CA,Alameda County,,37.86985210000005,-122.25982310000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
05225685660,Lumos Networks,VA,Lynchburg city,,37.41568800000001,-79.1427063,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
06401035673,Rack59 Data Center,OK,Oklahoma County,,35.46720489999999,-97.6497453,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
06625492701,Oso Grande,NM,Bernalillo County,,35.092501500000004,-106.6536712,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
06685432442,Switch Tahoe Reno - The Citadel Campus,NV,Storey County,,39.51409629999995,-119.4795921,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
06793837329,Morgan Wireless,WV,Morgan County,,39.63098509999999,-78.2253196,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
06856057098,VIRTBIZ,TX,Dallas County,,32.7825463,-96.7828145,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07171975407,FirstLight Data Center,ME,Cumberland County,,43.657838799999986,-70.26137850000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07264976228,Learning GIS!,IN,Tippecanoe County,,40.42178999999997,-86.9141546,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07264976991,Agricultural and Biological Engineering,IN,Tippecanoe County,,40.4218543,-86.9165454,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07324132050,Windstream Communications,NC,Durham County,,35.88139699999996,-78.851552,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07324132051,Level 3 Communications,NC,Durham County,,35.88136400000003,-78.8515726,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07557854384,OptimumHQ,AZ,Maricopa County,,33.38041490000001,-111.7526684,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07557868585,The Chatfield Group,AZ,Maricopa County,,33.38060100000002,-111.7528888,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07578821329,All About Serving Process Server,AZ,Maricopa County,,33.31991570000004,-111.809686,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07737996606,Emailage,AZ,Maricopa County,,33.30296499999996,-111.8405386,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07821940847,Alliance Technology,AZ,Maricopa County,,33.37998619999999,-111.728405,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
07985753364,8100 Boone Boulevard,VA,Fairfax County,,38.91372360000001,-77.2258825,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08017899486,HiPerGator,FL,Alachua County,,29.672818699999958,-82.2997617,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08109664813,Atlanta ATL13,GA,Fulton County,,33.755518599999995,-84.3914814,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08165754026,Data Holdings Data Center,WI,Milwaukee County,,43.04394079999997,-87.9539794,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08238715059,STACK Infrastructure,CA,Santa Clara County,,37.402744900000016,-121.891051,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08238715061,STACK Infrastructure,CA,Santa Clara County,,37.40263410000001,-121.891057,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08477460442,Digital West Data Center,CA,San Luis Obispo County,,35.25531619999998,-120.64151280000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08641856300,Chick-fil-A Hiring Center,MI,Macomb County,,42.62794240000004,-82.98839390000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08767284091,Ergonomic Group,CT,Capitol Planning Region,,41.7070776,-72.5898636,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
08897151054,San Jose Colocation Center,CA,Santa Clara County,,37.3341181,-121.891646,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09092482804,Amazon Web Services IAD69,VA,Loudoun County,,39.02548510000001,-77.4146998,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09190480200,Stream Data Centers Houston,TX,Montgomery County,,30.178136500000015,-95.4860464,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09669340912,Crown Castle Baltimore,MD,Baltimore city,,39.28770169999999,-76.6064893,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09669405859,AiNET One Market Center,MD,Baltimore city,,39.29175829999999,-76.6203737,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09669639033,Lumen McLean,VA,Fairfax County,,38.920853799999996,-77.2115713,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09721703993,TierPoint Milwaukee,WI,Milwaukee County,,43.00937789999995,-87.9610618,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09736262934,Frontier Science,NY,Erie County,,42.990201099999986,-78.8123836,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09808044830,505 Marquette,NM,Bernalillo County,,35.088628899999954,-106.65264560000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09808044840,123 Central,NM,Bernalillo County,,35.08444940000002,-106.6489853,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09861806598,,MO,Jackson County,,39.101181600000075,-94.57882090000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09922928085,Netrality Data Centers,MO,Jackson County,,39.10090709999998,-94.5811452,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10014176940,Microsoft,PR,Guaynabo Municipio,,18.41743590000001,-66.10898950000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
