State,Water_intensity_m3_per_MWh,Carbon_intensity_tonsCO2e_per_MWh,Scaled_power_consumption_MWh,Water_footprint_m3,Carbon_footprint_tonsCO2e
AK,0.8453171126137298,0.45529960918239454,78105.95704791053,66024.30208967172,35561.61171873056
AL,5.610877764154437,0.43414794432394377,1258304.2616586252,7060191.4022811465,546290.20853315
AR,1.9713350198781041,0.6095719535771044,269573.4831871961,531419.647837441,164324.43477900382
AZ,16.624722327619466,0.48599024006166747,3804335.3129755585,63246018.21937595,1848869.8320280705
CA,5.17645153047542,0.21032187022421528,7485018.753056657,38745836.779897355,1574263.1428061998
CO,1.647803049987261,0.682908590701839,1117297.7053064727,1841086.5665477735,763012.2013252418
CT,6.617197482218541,0.2547416844437759,318038.97643760545,2104526.7141302847,81017.78457648995
DC,1.6584247139766943,0.22003479522980957,98279.88379966767,162989.7881801266,21624.994107069357
DE,1.2484803243349167,0.4501927975723621,56752.29456840231,70854.12312950965,25549.474260399802
FL,1.2745273161952915,0.4738555024837578,1707589.3300270992,2176369.245963155,809150.6000158944
GA,14.844744732568609,0.4643347496059034,2537465.564784645,37668028.57691109,1178233.4376578804
HI,1.84594499882557,0.7623763244560687,156067.6039216546,288092.21293786826,118982.24624445658
IA,0.9552691814544334,0.5385619939023761,1626125.5722654485,1553387.6443601372,875769.4305349224
ID,34.20776546411291,0.08034773056172073,160753.1059210116,5499004.544973665,12916.147241501192
IL,2.120860757150413,0.4090674806898796,3400748.273850742,7212513.558957044,1391135.5288445796
IN,1.6897021159186278,0.8742617055207852,559504.9158357917,945396.6401546111,489153.7219658627
KS,1.6109294888736134,0.4981391976141495,326633.00305750006,526182.736664672,162708.70205736312
KY,5.95466604047664,0.9176122145465324,449127.55924179836,2674404.624859297,412124.9342497455
LA,1.9332684916537495,0.4196983581299873,487530.57444380043,942527.498290052,204615.7816322326
MA,6.260923510683799,0.360750436099163,892114.176768806,5585458.62354614,321830.5783195926
MD,2.631122997379636,0.42057849013208476,537459.7704696839,1414122.762249166,226044.0187708765
ME,8.601165418604117,0.1341103573003155,104089.19137130873,895288.3532733666,13959.438645907132
MI,2.486001859384072,0.5538299815839989,796063.4696670386,1979015.2657799937,440883.81674539024
MN,3.24010711696684,0.501521731009239,646090.2997185731,2093401.7783213875,324028.32550313685
MO,2.0425937224174135,0.8123733879095163,557407.5391544215,1138557.14030496,452823.0510291838
MS,1.8427642093214496,0.4597558303839776,297289.4890610024,547834.4302490758,136680.57590766958
MT,29.862977162074237,0.5829657163107783,99290.34425567789,2965105.2829217976,57882.86666175503
NC,9.288775312458348,0.40203361173123997,2272286.619266869,21106759.851875536,913535.5964324283
ND,18.49061203472708,0.7584249969887665,73457.96554448319,1358282.741743388,55712.357296875576
NE,4.808260845029477,0.7086859874127854,397675.04063521576,1912125.3269318142,281826.72884198744
NH,4.899891277807939,0.15290731527299695,136803.26661558234,670321.1328653259,20918.220218764705
NJ,1.3751653640258703,0.25068477894846564,2405261.30848273,3307632.042856994,602962.3994302903
NM,1.6051967751931342,0.67021002386024,531045.9038380254,852433.1723203217,355912.2878821657
NV,0.9501427818603599,0.3733100970964698,2280615.515808554,2166910.370544239,851376.7996462068
NY,1.7276444845373125,0.20864323052579317,2612660.592017684,4513748.661767341,545113.946186001
OH,1.7278795772575946,0.6648850056730836,2242224.362697035,3874293.6839336324,1490821.3581121445
OK,2.2540216713850816,0.4459928493975411,1594586.4595017643,3594232.4366141865,711174.1586839285
OR,1.423282126257901,0.15707886127149717,2094668.1244725403,2981303.702003927,329028.08373384934
PA,2.0656901290617142,0.39318708352900844,1446424.6435792902,2987865.108673348,568715.4871534266
RI,0.7886228718953916,0.4343882369172697,74270.0546454426,58571.063790316606,32262.038093183084
SC,27.740478356337995,0.31504017789087985,1145080.6615987609,31765085.309341617,360746.41532948
SD,0.7469375714521299,0.2599725334747371,67135.40195920046,50145.95409786776,17453.360533178173
TN,4.325806062856047,0.37135478201839345,668970.6181788929,2893837.1559908125,248425.43809053267
TX,5.478673348477289,0.4918120070226179,7278392.634124623,39875935.744331986,3579600.8892874694
UT,1.8399745499465687,0.8046748029938674,688879.8635876573,1267521.4169719536,554324.2685188404
VA,2.4148431226713054,0.3676022202610961,9281139.387787046,22412495.621151317,3411767.4455032283
VT,29.2758582047711,0.028753318079202506,57554.900331659715,1684969.101099403,1654.8943562530096
WA,1.389408417972762,0.10002020603292999,3973688.1369218025,5521075.747837653,397449.1061655284
WI,3.6676507196900667,0.6981117799445773,509050.08393836394,1867017.9067148294,355373.86017914774
WV,1.6970232605842444,0.9806751799912101,111034.01884243845,188427.31269176732,108888.30641345575
WY,6.642980440772053,1.0318792368399485,326568.83169765025,2169390.361533271,336979.59682788496
